chr,pos,snp,cases,pvalue,ratio,gene,phenotype,gwas,number
chr17,43719143,rs393152,383,0.04709,1.224,CRHR1,Calcaneal spur; Exostosis NOS,Parkinson's disease,153
chr17,43805194,rs9303521,272,0.04746,1.206,CRHR1,Aphakia and other disorders of lens,"Bone mineral density (hip), Bone mineral density",153
chr10,81058027,rs1250552,551,0.04798,1.138,ZMIZ1,Other forms of chronic heart disease,Celiac disease,153
chr10,81015896,rs11593576,847,0.04807,1.109,ZMIZ1,Chronic ulcer of leg or foot,Vitiligo,153
chr10,81015896,rs11593576,439,0.04829,1.162,ZMIZ1,Allergy/adverse effect of penicillin,Vitiligo,153
chr10,81058027,rs1250552,1948,0.0485,1.076,ZMIZ1,Gastrointestinal hemorrhage,Celiac disease,153
chr10,81015896,rs11593576,1507,0.04854,1.103,ZMIZ1,Atherosclerosis of the extremities,Vitiligo,153
chr17,43719143,rs393152,459,0.04872,1.178,CRHR1,Reflux esophagitis,Parkinson's disease,153
chr17,43805194,rs9303521,1447,0.049,1.091,CRHR1,Dermatophytosis of nail,"Bone mineral density (hip), Bone mineral density",153
chr10,80841148,rs704010,1031,0.04913,1.114,ZMIZ1,"Disorders of muscle, ligament, and fascia",Breast cancer,153
chr17,43805194,rs9303521,581,0.04936,1.132,CRHR1,Cellulitis and abscess of hand/fingers,"Bone mineral density (hip), Bone mineral density",153
chr10,81058027,rs1250552,144,0.04959,1.268,ZMIZ1,Testicular dysfunction,Celiac disease,153
chr10,81060317,rs1250550,230,0.04993,1.217,ZMIZ1,Anemia in chronic kidney disease,"Inflammatory bowel disease, Crohn's disease",153
chr6,32577380,rs660895,127,3.648e-9,2.217,HLA-DRB1,Type 1 diabetic ketoacidosis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,511,4.672e-8,1.501,HLA-DRB1,Rheumatoid arthritis & related inflammatory polyarthropathies,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,398,6.658e-8,1.561,HLA-DRB1,Rheumatoid arthritis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,615,7.123e-8,1.444,HLA-DRB1,Type 1 diabetes,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,118,2.578e-6,1.942,HLA-DRB1,Type 1 diabetic neuropathy,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,184,3.138e-5,1.639,HLA-DRB1,Polyarteritis nodosa and allied conditions,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,2367,5.86e-4,1.172,HLA-DRB1,Pneumonia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,539,6.278e-4,1.296,HLA-DRB1,Polyneuropathy in diabetes,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,3122,6.831e-4,1.138,HLA-DRB1,Type 2 diabetes,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,3231,6.937e-4,1.136,HLA-DRB1,Diabetes mellitus,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,939,8.296e-4,1.259,HLA-DRB1,"Conjunctivitis, infectious","IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,282,8.717e-4,1.403,HLA-DRB1,Visual field defects,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,196,9.302e-4,1.498,HLA-DRB1,Nasal polyps,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,141,9.537e-4,1.554,HLA-DRB1,Shock,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,273,0.00153,1.427,HLA-DRB1,Polymyalgia Rheumatica,Rheumatoid arthritis,147
chr6,32577380,rs660895,596,0.001559,1.27,HLA-DRB1,Chronic bronchitis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,109,0.001731,1.696,HLA-DRB1,Pernicious anemia,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,1229,0.001789,1.215,HLA-DRB1,Infection of the eye,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,565,0.001953,1.255,HLA-DRB1,Diseases of white blood cells,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,144,0.002064,1.518,HLA-DRB1,Bronchiectasis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,5272,0.002339,1.12,HLA-DRB1,Osteoarthrosis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,261,0.002361,1.444,HLA-DRB1,Uveitis,Rheumatoid arthritis,147
chr6,32577380,rs660895,1338,0.002376,1.206,HLA-DRB1,Abnormal electrocardiogram,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,167,0.002618,1.516,HLA-DRB1,Chondrocalcinosis,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,2586,0.003159,1.159,HLA-DRB1,Glaucoma,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,338,0.003535,1.351,HLA-DRB1,Calculus of ureter,Rheumatoid arthritis,147
chr6,32577380,rs660895,2616,0.003554,1.158,HLA-DRB1,Inflammation of the eye,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,2732,0.00366,1.137,HLA-DRB1,Atopic or contact dermatitis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,487,0.003952,1.271,HLA-DRB1,Voice disturbance,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,3601,0.003982,1.118,HLA-DRB1,Hearing loss,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,659,0.004086,1.231,HLA-DRB1,Diseases of the larynx and vocal cords,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,703,0.004326,1.208,HLA-DRB1,Insomnia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,6059,0.004377,1.136,HLA-DRB1,Disorders of refraction and accommodation,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,403,0.004676,1.287,HLA-DRB1,Acquired deformities of ankle and foot,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,3799,0.004691,1.179,HLA-DRB1,Astigmatism,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,167,0.004712,1.437,HLA-DRB1,Anorexia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,194,0.005048,1.443,HLA-DRB1,Bacterial enteritis,Rheumatoid arthritis,147
chr6,32577380,rs660895,471,0.005075,1.265,HLA-DRB1,Obstructive chronic bronchitis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,171,0.005181,1.47,HLA-DRB1,Crystal arthropathies,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,290,0.005311,1.316,HLA-DRB1,Sepsis and SIRS,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,270,0.005392,1.377,HLA-DRB1,Altered mental status,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,1180,0.005994,1.162,HLA-DRB1,Other diseases of lung,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,162,0.00629,1.51,HLA-DRB1,Retinal hemorrhage/ischemia,Rheumatoid arthritis,147
chr6,32577380,rs660895,2204,0.006336,1.127,HLA-DRB1,Other headache syndromes,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,253,0.006511,1.349,HLA-DRB1,Congenital anomalies of posterior segment of eye,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,270,0.006638,1.32,HLA-DRB1,Sepsis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,310,0.007833,1.31,HLA-DRB1,Personal history of allergy to medicinal agents,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,262,0.008959,1.356,HLA-DRB1,Uterine/Uterovaginal prolapse,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,150,0.009116,1.461,HLA-DRB1,Drug-resistant infection,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,3400,0.009419,1.104,HLA-DRB1,"Disorders of fluid, electrolyte, and acid-base balance","IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,561,0.01014,1.238,HLA-DRB1,Rosacea,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,371,0.01077,1.311,HLA-DRB1,Personality disorders,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,381,0.0108,1.293,HLA-DRB1,Memory loss,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,756,0.01091,1.194,HLA-DRB1,Abnormal findings examination of lungs,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,1405,0.01101,1.161,HLA-DRB1,Erythematous conditions,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32594540,rs13192471,628,0.01127,1.219,HLA-DRB1,Calculus of kidney,Rheumatoid arthritis,147
chr6,32577380,rs660895,1851,0.01161,1.121,HLA-DRB1,Nausea and vomiting,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1390,0.01186,1.139,HLA-DRB1,Asthma,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,2363,0.01205,1.115,HLA-DRB1,Electrolyte imbalance,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,321,0.01249,1.312,HLA-DRB1,Cervicocranial/Cervicobrachial syndrome,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,1978,0.013,1.138,HLA-DRB1,Chronic sinusitis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1625,0.01356,1.142,HLA-DRB1,Acute bronchitis and bronchiolitis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,2028,0.01359,1.149,HLA-DRB1,Inflammation of eyelids,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,840,0.01364,1.212,HLA-DRB1,Elevated prostate specific antigen,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1442,0.01463,1.138,HLA-DRB1,Dysphagia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,227,0.01531,1.348,HLA-DRB1,Muscle weakness,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,107,0.01622,1.46,HLA-DRB1,Hypoglycemia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,129,0.01643,1.413,HLA-DRB1,Type 1 diabetic retinopathy,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1645,0.01723,1.125,HLA-DRB1,Visual disturbances,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,280,0.01757,1.315,HLA-DRB1,Gastric ulcer,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,1481,0.01771,1.139,HLA-DRB1,Wheezing and painful respiration,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,2685,0.01794,1.122,HLA-DRB1,Cardiac conduction disorders,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,365,0.01796,1.249,HLA-DRB1,Congenital anomalies of the eye,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,734,0.01817,1.192,HLA-DRB1,Morbid obesity,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,1645,0.01822,1.13,HLA-DRB1,Osteoarthritis; localized,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,316,0.01844,1.257,HLA-DRB1,Insulin pump user,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,195,0.01848,1.338,HLA-DRB1,Influenza,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1503,0.01918,1.124,HLA-DRB1,Other arthropathies,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,321,0.01959,1.29,HLA-DRB1,Cervicocranial/Cervicobrachial syndrome,Rheumatoid arthritis,147
chr6,32577380,rs660895,253,0.02003,1.287,HLA-DRB1,Chronic obstructive asthma,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,2692,0.02088,1.104,HLA-DRB1,Light-headedness and vertigo,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1752,0.02127,1.132,HLA-DRB1,"Osteoporosis, NOS or other","IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,933,0.02169,1.171,HLA-DRB1,Open-angle glaucoma,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,243,0.0225,1.339,HLA-DRB1,Keratitis,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,225,0.02251,1.33,HLA-DRB1,Other specified erythematous conditions,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32594540,rs13192471,656,0.02344,1.202,HLA-DRB1,Disaccharide malabsorption,Rheumatoid arthritis,147
chr6,32577380,rs660895,155,0.02352,1.354,HLA-DRB1,Asthma with exacerbation,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,796,0.02375,1.193,HLA-DRB1,Dysthymic disorder,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,644,0.02413,1.175,HLA-DRB1,Type 2 diabetic neuropathy,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,264,0.02432,1.296,HLA-DRB1,"Cancer of other lymphoid, histiocytic tissue",Rheumatoid arthritis,147
chr6,32594540,rs13192471,252,0.02472,1.302,HLA-DRB1,Non-Hodgkins lymphoma,Rheumatoid arthritis,147
chr6,32577380,rs660895,1659,0.0248,1.133,HLA-DRB1,Osteoporosis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,164,0.02524,1.392,HLA-DRB1,Labyrinthitis,Rheumatoid arthritis,147
chr6,32577380,rs660895,389,0.02544,1.215,HLA-DRB1,Nephritis; nephrosis; renal sclerosis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,1077,0.02557,1.179,HLA-DRB1,Other nonmalignant breast conditions,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,943,0.02669,1.174,HLA-DRB1,Persistent mental disorders due to other conditions,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,530,0.02686,1.223,HLA-DRB1,Diseases of pulp and periapical tissues,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,6119,0.02743,1.109,HLA-DRB1,Cataract,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,149,0.02762,1.391,HLA-DRB1,Intestinal infection due to C. difficile,Rheumatoid arthritis,147
chr6,32515374,rs9271366,144,0.02819,1.389,HLA-DRB1,Stomatitis and mucositis,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,429,0.02922,1.273,HLA-DRB1,Other specified disorders of breast,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,495,0.02937,1.243,HLA-DRB1,Senile dementia,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,605,0.03007,1.168,HLA-DRB1,Septicemia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,237,0.0302,1.266,HLA-DRB1,Bacteremia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,261,0.03173,1.286,HLA-DRB1,Develomental delays and disorders,Rheumatoid arthritis,147
chr6,32515374,rs9271366,198,0.0319,1.324,HLA-DRB1,Magnesium metabolism disorder,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,2209,0.03241,1.121,HLA-DRB1,Back & neck sprains,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,192,0.03245,1.292,HLA-DRB1,Noninfectious disorders of lymphatic channels,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,539,0.03253,1.181,HLA-DRB1,Hyperpotassemia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,453,0.0335,1.19,HLA-DRB1,Symptoms involving respiratory system,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,328,0.03583,1.251,HLA-DRB1,Allergic conjunctivitis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,828,0.03597,1.158,HLA-DRB1,Urinary calculus,Rheumatoid arthritis,147
chr6,32515374,rs9271366,249,0.03619,1.311,HLA-DRB1,Blindness and low vision,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,7301,0.03654,1.081,HLA-DRB1,Pain in joint,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,548,0.03664,1.177,HLA-DRB1,Gingival and periodontal diseases,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,709,0.03666,1.162,HLA-DRB1,Viral infection,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,994,0.03681,1.154,HLA-DRB1,Diseases of nail,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,2982,0.03756,1.09,HLA-DRB1,Symptoms affecting skin,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,427,0.03794,1.219,HLA-DRB1,Other disorders of bone and cartilage,Rheumatoid arthritis,147
chr6,32577380,rs660895,2205,0.03814,1.138,HLA-DRB1,Hyperplasia of prostate,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,498,0.03819,1.183,HLA-DRB1,Type 2 diabetic retinopathy,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,100,0.03833,1.411,HLA-DRB1,Sicca syndrome,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1112,0.03923,1.126,HLA-DRB1,Type 2 diabetic ketoacidosis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1220,0.03924,1.124,HLA-DRB1,Hypopotassemia,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,668,0.03942,1.182,HLA-DRB1,Carbohydrate transport and metabolism disorder,Rheumatoid arthritis,147
chr6,32515374,rs9271366,461,0.03965,1.203,HLA-DRB1,Convulsions,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32515374,rs9271366,604,0.03989,1.19,HLA-DRB1,Herpes zoster,"Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32594540,rs13192471,132,0.04026,1.386,HLA-DRB1,End stage renal disease,Rheumatoid arthritis,147
chr6,32577380,rs660895,4527,0.0403,1.086,HLA-DRB1,Osteoarthrosis NOS,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,293,0.04163,1.29,HLA-DRB1,Other disorders of prostate,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,1807,0.04164,1.102,HLA-DRB1,Chronic airway obstruction,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,270,0.04191,1.27,HLA-DRB1,Disorders of other cranial nerves,Rheumatoid arthritis,147
chr6,32577380,rs660895,118,0.04219,1.386,HLA-DRB1,Chorioretinal scars,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,2042,0.04371,1.093,HLA-DRB1,Hypothyroidism,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32515374,rs9271366,175,0.04397,1.345,HLA-DRB1,"Pain, swelling or discharge of eye","Selective immunoglobulin A deficiency, Ulcerative colitis, Multiple sclerosis, Crohn's disease, Inflammatory bowel disease",147
chr6,32577380,rs660895,424,0.0443,1.216,HLA-DRB1,"Conjunctivitis, noninfectious","IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,398,0.04475,1.216,HLA-DRB1,Rheumatoid arthritis,Rheumatoid arthritis,147
chr6,32577380,rs660895,2104,0.04497,1.098,HLA-DRB1,Dermatophytosis / Dermatomycosis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,268,0.04519,1.261,HLA-DRB1,Melanoma,Rheumatoid arthritis,147
chr6,32577380,rs660895,3812,0.04526,1.076,HLA-DRB1,Diseases of esophagus,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,227,0.04601,1.284,HLA-DRB1,Plasma protein metabolism disorder,Rheumatoid arthritis,147
chr6,32594540,rs13192471,1057,0.04644,1.158,HLA-DRB1,Other upper respiratory disease,Rheumatoid arthritis,147
chr6,32577380,rs660895,716,0.04665,1.142,HLA-DRB1,Diseases of respiratory system,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32594540,rs13192471,110,0.04778,1.411,HLA-DRB1,Ulcerative colitis,Rheumatoid arthritis,147
chr6,32577380,rs660895,2341,0.04875,1.103,HLA-DRB1,"Disorders of synovium, tendon, and bursa","IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,146,0.04993,1.331,HLA-DRB1,"Keratitis, infectious","IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,32577380,rs660895,313,0.04995,1.214,HLA-DRB1,Chronic periodontitis,"IgA nephropathy, Rheumatoid arthritis (anti-CCP+)",147
chr6,151936677,rs6929137,437,1.915e-4,1.311,C6orf97,Type 2 diabetic nephropathy,Bone mineral density,138
chr19,11195030,rs11668477,1290,2.477e-4,1.264,LDLR,Cardiac arrhythmia NOS,LDL Cholesterol,138
chr6,151933175,rs1038304,682,3.622e-4,1.232,C6orf97,Hemorrhage of gastrointestinal tract,"Bone mineral density (hip), Bone mineral density",138
chr19,11195030,rs11668477,2591,8.173e-4,1.189,LDLR,Other disorders of eye,LDL Cholesterol,138
chr6,151936677,rs6929137,185,8.35e-4,1.437,C6orf97,Fracture of pelvis,Bone mineral density,138
chr6,151914113,rs3757318,1163,0.001088,1.3,C6orf97,Occlusion and stenosis of precerebral arteries,Breast cancer,138
chr19,11202306,rs6511720,4913,0.001092,1.174,LDLR,Pain in limb,"Total Cholesterol, Lipoprotein-associated phospholipase A2 activity concentrations, LDL Cholesterol, Carotid plaque",138
chr19,11195030,rs11668477,220,0.00121,1.457,LDLR,Retinal edema and hypertensive retinopathy,LDL Cholesterol,138
chr6,151914113,rs3757318,353,0.001249,1.576,C6orf97,Other hypertensive complications,Breast cancer,138
chr19,11195030,rs11668477,202,0.001271,1.463,LDLR,Other specified disorders of liver,LDL Cholesterol,138
chr6,151914113,rs3757318,2631,0.001469,1.211,C6orf97,Cerebrovascular disease,Breast cancer,138
chr6,151914113,rs3757318,8185,0.001545,1.202,C6orf97,Hypertension,Breast cancer,138
chr19,11195030,rs11668477,2044,0.00172,1.172,LDLR,Heart failure,LDL Cholesterol,138
chr19,11195030,rs11668477,4913,0.001834,1.13,LDLR,Pain in limb,LDL Cholesterol,138
chr6,151936677,rs6929137,297,0.001969,1.306,C6orf97,Immune disorders,Bone mineral density,138
chr19,11195030,rs11668477,2041,0.002035,1.185,LDLR,Atrial fibrillation & flutter,LDL Cholesterol,138
chr6,151914113,rs3757318,8134,0.002141,1.196,C6orf97,Essential hypertension,Breast cancer,138
chr19,11202306,rs6511720,590,0.002142,1.368,LDLR,Poisoning by antibiotics,"Total Cholesterol, Lipoprotein-associated phospholipase A2 activity concentrations, LDL Cholesterol, Carotid plaque",138
chr6,151936677,rs6929137,533,0.002229,1.227,C6orf97,Diabetic retinopathy,Bone mineral density,138
chr6,151914113,rs3757318,192,0.002976,1.633,C6orf97,Hemiplegia,Breast cancer,138
chr6,151914113,rs3757318,282,0.003169,1.517,C6orf97,Visual field defects,Breast cancer,138
chr19,11202306,rs6511720,439,0.003232,1.4,LDLR,Allergy/adverse effect of penicillin,"Total Cholesterol, Lipoprotein-associated phospholipase A2 activity concentrations, LDL Cholesterol, Carotid plaque",138
chr19,11210912,rs2228671,4913,0.003285,1.152,LDLR,Pain in limb,"Total Cholesterol, LDL Cholesterol",138
